스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
01+02,서울특별시,광진구,영화사로,서울특별시 광진구 영화사로 1,서울특별시 광진구 중곡동 83-8,37.55869883,127.0882996,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,영화사로,서울특별시 광진구 영화사로 2,서울특별시 광진구 구의동 15-1,37.55360682,127.0955669,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,영화사로,서울특별시 광진구 영화사로 3,서울특별시 광진구 구의동 4-13,37.55860674,127.088317,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,용마산로,서울특별시 광진구 용마산로 6,서울특별시 광진구 중곡동 29-1,37.566286,127.0860543,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,워커힐로,서울특별시 광진구 워커힐로 1,서울특별시 광진구 광장동 579,37.5434758,127.0969045,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,워커힐로,서울특별시 광진구 워커힐로 2,서울특별시 광진구 광장동 383-17,37.54907701,127.099343,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,워커힐로,서울특별시 광진구 워커힐로 3,서울특별시 광진구 광장동 383-16,37.54296563,127.0944327,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,워커힐로,서울특별시 광진구 워커힐로 4,서울특별시 광진구 광장동 381-73,37.54966549,127.0988674,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,자양번영로,서울특별시 광진구 자양번영로 1,서울특별시 광진구 자양동 727,37.53174781,127.0752522,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,자양번영로,서울특별시 광진구 자양번영로 2,서울특별시 광진구 자양동 727,37.53174781,127.0752522,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,자양번영로,서울특별시 광진구 자양번영로 3,서울특별시 광진구 자양동 794-10,37.53051598,127.0745264,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,자양번영로,서울특별시 광진구 자양번영로 4,서울특별시 광진구 자양동 707,37.53519546,127.0762766,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,천호대로,서울특별시 광진구 천호대로 657-2,서울특별시 광진구 구의동 94,37.5523239,127.0897577,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,천호대로,,서울특별시 광진구 중곡동 659,37.55872065,127.0759272,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,천호대로,서울특별시 광진구 천호대로 533,서울특별시 광진구 중곡동 639-5,37.55814893,127.0778387,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,천호대로,,서울특별시 광진구 능동 265-10,37.5563411,127.0811119,1,N,조도센서,,N,N,N,N,Y,N,,,,2019,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,천호대로,서울특별시 광진구 천호대로 577-2,서울특별시 광진구 중곡동 272-12,37.55631126,127.0822186,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,천호대로,서울특별시 광진구 천호대로 620,서울특별시 광진구 능동 247-15,37.55412645,127.0862648,1,N,조도센서,,N,N,N,N,Y,N,,,,2019,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,천호대로,서울특별시 광진구 천호대로 635-2,서울특별시 광진구 중곡동 272-14,37.55399655,127.0880301,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,천호대로,서울특별시 광진구 천호대로 665-2,서울특별시 광진구 구의동 96,37.55160311,127.0901001,1,N,조도센서,,N,N,N,N,Y,N,,,,2019,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
1,전라북도,무주군,죽향로,전라북도 무주군 무주읍 죽향로 38-39,전라북도 무주군 무주읍 읍내리 615,36.01215079,127.656123,1,Y,조도센서,방범+교통,Y,Y,N,N,Y,N,IP Pro,상시녹화,,2019,전라북도 무주군청 건설과,063-320-2483,2022-02-23,4740000,전라북도 무주군
1,전라북도,무주군,죽산길,전라북도 무주군 무주읍 죽산길 24,전라북도 무주군 무주읍 읍내리 748-1,36.00875526,127.6560715,1,Y,조도센서,방범+교통,Y,Y,N,N,Y,N,IP Pro,상시녹화,,2019,전라북도 무주군청 건설과,063-320-2483,2022-02-23,4740000,전라북도 무주군
1,충청남도,서산시,대사동1로,충청남도 서산시 대사동1로 25,충청남도 서산시 동문동 1270,36.78384156,126.4538943,1,N,조도센서,디밍,N,N,N,Y,Y,N,가로등제어,상태감시 및 조명제어/길찾기 기능 제공,,2021,서산시,041-660-2389,2021-09-30,4530000,충청남도 서산시
1,전라남도,화순군,전라남도 화순군 사평면 벽송리 710-4,전라남도 화순군 사평면 벽송리 710-4,전라남도 화순군 사평면 벽송리 710-4,35.011803,127.081872,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 사평리 1072,전라남도 화순군 사평면 사평리 1072,전라남도 화순군 사평면 사평리 1072,34.996276,127.094091,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 유마리 406,전라남도 화순군 사평면 유마리 406,전라남도 화순군 사평면 유마리 406,35.016231,,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 대곡길 125,전라남도 화순군 사평면 대곡길 125,전라남도 화순군 사평면 대곡길 125,34.9880185,127.101656,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 복교리 53,전라남도 화순군 사평면 복교리 53,전라남도 화순군 사평면 복교리 53,34.980164,127.174987,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 용안길 12-13,전라남도 화순군 사평면 용안길 12-13,전라남도 화순군 사평면 용안길 12-13,35.0254521,127.1074072,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 벽송리 188,전라남도 화순군 사평면 벽송리 188,전라남도 화순군 사평면 벽송리 188,35.011752,127.0847566,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 사평리 1049-92,전라남도 화순군 사평면 사평리 1049-92,전라남도 화순군 사평면 사평리 1049-92,34.999308,127.091464,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 대곡리 533,전라남도 화순군 사평면 대곡리 533,전라남도 화순군 사평면 대곡리 533,34.989108,127.1013536,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 용리 375-2,전라남도 화순군 사평면 용리 375-2,전라남도 화순군 사평면 용리 375-2,35.023475,127.106688,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 장전리 225-2,전라남도 화순군 사평면 장전리 225-2,전라남도 화순군 사평면 장전리 225-2,35.014932,127.104345,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 벽송길 109,전라남도 화순군 사평면 벽송길 109,전라남도 화순군 사평면 벽송길 109,35.012661,127.0852748,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 원동길 135,전라남도 화순군 사평면 원동길 135,전라남도 화순군 사평면 원동길 135,34.9987229,127.0707442,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 용리 167-5,전라남도 화순군 사평면 용리 167-5,전라남도 화순군 사평면 용리 167-5,,127.112692,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 사평리 206-3,전라남도 화순군 사평면 사평리 206-3,전라남도 화순군 사평면 사평리 206-3,35.011157,127.095606,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 검산리 655-2,전라남도 화순군 사평면 검산리 655-2,전라남도 화순군 사평면 검산리 655-2,34.981915,127.090382,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 대곡리 644-12,전라남도 화순군 사평면 대곡리 644-12,전라남도 화순군 사평면 대곡리 644-12,34.989095,127.100076,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 복교리 170-1,전라남도 화순군 사평면 복교리 170-1,전라남도 화순군 사평면 복교리 170-1,,127.165485,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 사평리 102-13,전라남도 화순군 사평면 사평리 102-13,전라남도 화순군 사평면 사평리 102-13,35.006798,127.096544,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 내리 968-13,전라남도 화순군 사평면 내리 968-13,전라남도 화순군 사평면 내리 968-13,35.027378,127.114674,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 장전리 108-2,전라남도 화순군 사평면 장전리 108-2,전라남도 화순군 사평면 장전리 108-2,35.017123,127.107398,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 벽송리 195-1,전라남도 화순군 사평면 벽송리 195-1,전라남도 화순군 사평면 벽송리 195-1,,127.084313,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 주산리 233-3,전라남도 화순군 사평면 주산리 233-3,전라남도 화순군 사평면 주산리 233-3,34.980568,127.145459,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 대곡리 38,전라남도 화순군 사평면 대곡리 38,전라남도 화순군 사평면 대곡리 38,34.976376,127.118338,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
2,광주광역시,남구,대남대로,광주광역시 남구 대남대로 185 (한국방송광고공사광주지사빌딩 앞),,35.1333207,126.9047872,01,Y,없음,,N,N,N,Y,Y,Y,,,,2015,광주광역시 남구청,062-607-3832,2020-09-25,3610000,광주광역시 남구
1,전라남도,화순군,전라남도 화순군 사평면 원리 451-1,전라남도 화순군 사평면 원리 451-1,전라남도 화순군 사평면 원리 451-1,34.993544,127.080393,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 하사2길 9,전라남도 화순군 사평면 하사2길 9,전라남도 화순군 사평면 하사2길 9,35.003285,127.0973843,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 남계리 26-1,전라남도 화순군 사평면 남계리 26-1,전라남도 화순군 사평면 남계리 26-1,,127.166728,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 남계리 49-4,전라남도 화순군 사평면 남계리 49-4,전라남도 화순군 사평면 남계리 49-4,,127.171109,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 원리 129,전라남도 화순군 사평면 원리 129,전라남도 화순군 사평면 원리 129,34.994687,127.085016,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 사평리 101-12,전라남도 화순군 사평면 사평리 101-12,전라남도 화순군 사평면 사평리 101-12,,127.095638,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 사수리 207-1,전라남도 화순군 사평면 사수리 207-1,전라남도 화순군 사평면 사수리 207-1,34.989876,127.141414,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 개정지길 21-14,전라남도 화순군 사평면 개정지길 21-14,전라남도 화순군 사평면 개정지길 21-14,34.9921465,127.0795465,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 남계리 534,전라남도 화순군 사평면 남계리 534,전라남도 화순군 사평면 남계리 534,34.991773,127.157455,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 유마리 산21-1,전라남도 화순군 사평면 유마리 산21-1,전라남도 화순군 사평면 유마리 산21-1,35.011961,,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 절산리 640-1,전라남도 화순군 사평면 절산리 640-1,전라남도 화순군 사평면 절산리 640-1,35.011404,127.113992,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 원리 722,전라남도 화순군 사평면 원리 722,전라남도 화순군 사평면 원리 722,,127.086423,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 용리 386,전라남도 화순군 사평면 용리 386,전라남도 화순군 사평면 용리 386,35.021814,127.105277,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 다산리 687,전라남도 화순군 사평면 다산리 687,전라남도 화순군 사평면 다산리 687,35.019574,127.127029,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
1,전라남도,화순군,전라남도 화순군 사평면 장전리 598-4,전라남도 화순군 사평면 장전리 598-4,전라남도 화순군 사평면 장전리 598-4,35.035745,127.088142,01,N,조도센서,,N,N,N,N,N,N,스마트조명지킴이,위치+고장수리서비스,,,화순군,061-379-3742,2020-12-18,4900000,전라남도 화순군
